Stage,Model,Mean_R2,Std_R2,CV_Percent,Min_R2,Max_R2,Range_R2
Stage 1,RFE_RF_RF_Top5,0.7324835175331961,0.07757521457242579,10.590711287767657,0.6125399407087986,0.8556700547883921,0.2431301140795935
Stage 1,RF_RF_Top5,0.7324835175331961,0.07757521457242579,10.590711287767657,0.6125399407087986,0.8556700547883921,0.2431301140795935
Stage 1,RF_XGB_Top7,0.6969854036456267,0.0835235215453994,11.983539555997053,0.5764919665087811,0.7948072661923122,0.21831529968353114
Stage 1,RF_RF_Top6,0.737876754892959,0.07486260621660107,10.1456788982953,0.6283675149041175,0.8541977233718306,0.22583020846771318
Stage 1,RFE_RF_RF_Top6,0.737876754892959,0.07486260621660107,10.1456788982953,0.6283675149041175,0.8541977233718306,0.22583020846771318
Stage 2,TopKAverage_TopK50,0.7507836645212977,0.06744617346750656,8.983436461754994,0.6715547475919064,0.8827261886756952,0.21117144108378882
Stage 2,FS_MetaModel_TopK40,0.7490546534571958,0.07364748055431107,9.832057008710594,0.6362667307099861,0.8922206313481276,0.2559539006381415
Stage 2,TopKAverage_TopK40,0.7496656169800474,0.0705062707297107,9.405029273416343,0.6616908707939263,0.8915870200378181,0.2298961492438918
Stage 2,RandomAverage_TopK20,0.7506455979624624,0.06681819118612023,8.901429831533044,0.6787680390959445,0.8805706395412318,0.2018026004452873
Stage 2,TopKAverage_TopK30,0.7491838713409782,0.0699236778324877,9.333313290278127,0.6496438865203296,0.889462404804228,0.23981851828389844
